id,ev_id,o_id,ev_type,time,latitude,longitude,depth,mag_type,mag,mag_plot_size,method_id,evaluation_mode,author,rms,az_gap,num_phase
25,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvxubctn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123718.953263.6044698,None,2024-04-15T12:37:08.441220Z,46.51054267,8.476150491,-1398.355771,MwA,-3.675336721,1.712966689,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,9.97E-05,91.6475176,17
26,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvyckatn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123742.606194.6045713,None,2024-04-15T12:37:30.995990Z,46.51040166,8.476152887,-1367.910195,MwA,-3.650391274,1.762875496,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,5.00E-07,236.0581265,4
27,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvypyjaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123818.587345.6048136,None,2024-04-15T12:38:07.636941Z,46.51051115,8.476045649,-1395.269461,MwA,-4.441778657,0.708806921,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,5.07E-05,161.5378507,6
28,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjvzulkna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415123940.403799.6052018,None,2024-04-15T12:39:30.114653Z,46.51060964,8.476073245,-1369.028112,MwA,-4.243083745,0.890995285,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.53E-04,123.0402419,5
29,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwanxjna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124032.984713.6053288,None,2024-04-15T12:40:22.734738Z,46.51059116,8.476125786,-1376.832364,MwA,-4.646004852,0.560292556,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000167763,113.7908291,5
30,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwbjdntn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124130.665192.6054615,None,2024-04-15T12:41:20.159202Z,46.51054001,8.476225306,-1380.240438,MwA,-4.055368923,1.105943185,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.21E-04,101.6121349,13
31,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwbkxyna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124135.251631.6054784,None,2024-04-15T12:41:24.986930Z,46.51053207,8.475800343,-1389.729042,MwA,-4.201549366,0.934636194,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000162493,287.1508393,6
32,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwboisgn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124144.53383.6055116,None,2024-04-15T12:41:34.222209Z,46.51053966,8.476224861,-1380.556912,MwA,-4.003339498,1.174214744,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,8.28E-05,101.6271479,14
33,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwdnjaaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124402.361058.6059096,None,2024-04-15T12:43:52.152790Z,46.51084765,8.475768191,-1383.522029,MwA,-3.464925202,2.182502135,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.53E-04,296.6510668,6
34,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwdtzpaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124420.739368.6060049,None,2024-04-15T12:44:10.100035Z,46.5104558,8.476053166,-1405.433717,MwA,-3.936206253,1.268569167,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,9.40E-05,71.68904748,13
35,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwfxmytn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124650.429716.6064899,None,2024-04-15T12:46:40.211936Z,46.51096439,8.476166297,-1423.903589,MwA,-3.736193919,1.59705664,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.00024623,316.2920266,5
36,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwgcaoaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124703.985292.6065385,None,2024-04-15T12:46:52.440968Z,46.51053325,8.476202932,-1380.5221,MwA,-4.260101761,0.873708172,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,9.91E-05,141.0501164,9
37,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwhcprna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124814.531895.6068034,None,2024-04-15T12:48:04.320206Z,46.51045983,8.47600452,-1396.397102,MwA,-3.498356622,2.100095127,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000124178,53.2484737,14
38,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwhdznaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124818.593967.6068247,None,2024-04-15T12:48:08.044182Z,46.51048596,8.476068339,-1400.370622,MwA,-4.44305733,0.707764235,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.57E-05,174.6149673,7
39,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwhzbotn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415124915.238734.6070160,None,2024-04-15T12:49:05.043747Z,46.51050648,8.476070347,-1397.771992,MwA,-4.34982247,0.787963396,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,7.01E-05,139.4291988,7
40,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwivjdna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125016.323445.6072941,None,2024-04-15T12:50:05.318430Z,46.51059331,8.475812603,-1397.141129,MwA,-3.703773554,1.657793762,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.78E-04,300.4681688,6
41,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwizecgn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125025.973001.6073552,None,2024-04-15T12:50:15.608998Z,46.51053749,8.47622275,-1380.374686,MwA,-3.956343062,1.239497763,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000108075,102.1001443,13
42,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwjmniaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125101.881718.6074788,None,2024-04-15T12:50:51.720858Z,46.51053723,8.476218936,-1380.860417,MwA,-4.164743418,0.975091946,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.48E-05,150.5641492,9
43,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwkhycaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125159.90017.6077038,None,2024-04-15T12:51:49.624307Z,46.51054841,8.475993517,-1383.76917,MwA,-3.888026077,1.340924234,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,8.74E-05,122.5155802,10
